epigrafe_code,epigrafe_desc,web_supercategory,web_category,web_subcategory,display_label,investable,mapping_rule,source_rows,needs_manual_review
553001,CAMPINGS Y APARCAMIENTOS PARA CARAVANAS,Alojamiento,Alojamiento turistico,Alojamiento turistico,Alojamiento turistico,True,prefix_55,141,False
559001,COLEGIOS MAYORES Y RESIDENCIAS DE ESTUDIANTES,Alojamiento,Alojamiento turistico,Alojamiento turistico,Alojamiento turistico,True,prefix_55,13599,False
559002,PENSIONES,Alojamiento,Alojamiento turistico,Alojamiento turistico,Alojamiento turistico,True,prefix_55,3496,False
559003,CASAS DE HUESPEDES,Alojamiento,Alojamiento turistico,Alojamiento turistico,Alojamiento turistico,True,prefix_55,7030,False
551003,HOSTALES,Alojamiento,Alojamiento turistico,Hostal,Hostal,True,exact_code,15592,False
551001,HOTELES Y MOTELES CON RESTAURANTE,Alojamiento,Alojamiento turistico,Hotel,Hotel,True,exact_code,42775,False
551005,VIVIENDAS TURÍSTICAS,Alojamiento,Alojamiento turistico,Vivienda turistica,Vivienda turistica,True,exact_code,81674,False
473001,COMERCIO AL POR MENOR DE COMBUSTIBLE PARA LA AUTOMOCION EN ESTABLECIMIENTOS ESPECIALIZADOS,Automocion,Servicios automocion,Gasolinera,Gasolinera,True,exact_code,22020,False
452003,TALLER DE MONTAJE DE ACCESORIOS PARA EL AUTOMOVIL,Automocion,Taller y reparacion,Accesorios automovil,Accesorios automovil,True,exact_code,12047,False
452004,MANTENIMIENTO Y REPARACION DE VEHICULOS DE MOTOR N.C.O.P.,Automocion,Taller y reparacion,Taller automovil,Taller automovil,True,exact_code,48718,False
452001,TALLER DE REPARACION DE AUTOMOVILES ESPECIALIZADO EN CHAPA Y PINTURA,Automocion,Taller y reparacion,Taller chapa y pintura,Taller chapa y pintura,True,exact_code,82800,False
452002,TALLER DE REPARACION DE AUTOMOVILES ESPECIALIZADO EN MECANICA Y ELECTRICIDAD,Automocion,Taller y reparacion,Taller mecanica,Taller mecanica,True,exact_code,202373,False
454001,MANTENIMIENTO Y REPARACION DE MOTOCICLETAS Y VENTA DE SUS REPUESTOS Y ACCESORIOS,Automocion,Venta y recambios,Motos y reparacion,Motos y reparacion,True,exact_code,22783,False
453001,COMERCIO DE RESPUESTOS Y ACCESORIOS DE VEHICULOS DE MOTOR,Automocion,Venta y recambios,Recambios automovil,Recambios automovil,True,exact_code,38792,False
451001,COMERCIO DE VEHICULOS DE MOTOR NUEVOS,Automocion,Venta y recambios,Venta de coches nuevos,Venta de coches nuevos,True,exact_code,39057,False
451002,COMERCIO DE VEHICULOS DE MOTOR USADOS,Automocion,Venta y recambios,Venta de coches usados,Venta de coches usados,True,exact_code,21131,False
454002,VENTA DE MOTOCICLETAS,Automocion,Venta y recambios,Venta de motos,Venta de motos,True,exact_code,10353,False
477501,COMERCIO AL POR MENOR DE ARTICULOS DE PERFUMERIA Y COSMETICA,Belleza y cuidado personal,Cosmetica y perfumeria,Perfumeria y cosmetica,Perfumeria y cosmetica,True,exact_code,98947,False
960205,CENTROS DE BRONCEADO,Belleza y cuidado personal,Peluqueria y estetica,Bronceado,Bronceado,True,exact_code,30029,False
960203,CENTRO DE ESTETICA,Belleza y cuidado personal,Peluqueria y estetica,Centro de estetica,Centro de estetica,True,exact_code,258695,False
960206,CENTROS DE FOTODEPILACION,Belleza y cuidado personal,Peluqueria y estetica,Fotodepilacion,Fotodepilacion,True,exact_code,41300,False
