zone_level,zone_code,zone_name,web_supercategory,web_category,display_label,n_locales,n_events,event_rate,duration_median_months,survival_12m,survival_24m,supported_for_stats,confidence_tier,rank_within_zone_24m
district,12.0,Usera,Retail especializado,Conveniencia,Bazar y precio unico,39,8,0.20512820512820512,135.0,0.9743589743589743,0.9230769230769231,False,low,113
district,12.0,Usera,Servicios,Servicios profesionales,Oficina y administracion,24,8,0.3333333333333333,135.0,1.0,0.9166666666666667,False,low,114
district,12.0,Usera,Finanzas,Finanzas y seguros,Seguros,10,5,0.5,108.0,1.0,0.9,False,low,115
district,12.0,Usera,Hosteleria,Restauracion,Comida rapida,10,1,0.1,135.0,0.9,0.9,False,low,116
district,12.0,Usera,Retail especializado,Electronica y telecom,Telefonia,19,5,0.2631578947368421,135.0,1.0,0.8947368421052632,False,low,117
district,12.0,Usera,Retail especializado,Hogar y decoracion,Hogar y menaje,9,3,0.3333333333333333,135.0,0.8888888888888888,0.8888888888888888,False,low,118
district,12.0,Usera,Servicios,Servicios al consumidor,Locutorio,62,23,0.3709677419354839,135.0,0.9516129032258064,0.8870967741935483,False,low,119
district,12.0,Usera,Alimentacion,Supermercado y conveniencia,Alimentacion envasada,8,2,0.25,135.0,1.0,0.875,False,low,120
district,12.0,Usera,Finanzas,Finanzas y seguros,Servicios auxiliares seguros,6,2,0.3333333333333333,135.0,1.0,0.8333333333333334,False,low,121
district,12.0,Usera,Servicios,Servicios profesionales,Servicios profesionales,6,2,0.3333333333333333,135.0,1.0,0.8333333333333334,False,low,122
district,12.0,Usera,Retail especializado,Cultura y ocio,Deporte,5,3,0.6,72.0,1.0,0.8,False,low,123
district,12.0,Usera,Deporte y ocio,Fitness y deporte,Gimnasio,5,3,0.6,62.0,1.0,0.8,False,low,124
district,12.0,Usera,Automocion,Servicios automocion,Gasolinera,5,1,0.2,80.0,0.8,0.8,False,low,125
district,12.0,Usera,Retail especializado,Conveniencia,Tienda multiproducto,5,1,0.2,135.0,0.8,0.8,False,low,126
district,12.0,Usera,Retail especializado,Cultura y ocio,Bicicletas,2,1,0.5,62.5,1.0,0.5,False,low,127
district,12.0,Usera,Retail especializado,Hogar y decoracion,Iluminacion,2,1,0.5,71.5,0.5,0.5,False,low,128
district,13.0,Puente de Vallecas,Automocion,Taller y reparacion,Taller mecanica,122,4,0.03278688524590164,135.0,1.0,1.0,False,low,1
district,13.0,Puente de Vallecas,Salud y bienestar,Salud retail,Farmacia,112,4,0.03571428571428571,135.0,1.0,1.0,False,low,2
district,13.0,Puente de Vallecas,Hosteleria,Bar y cafeteria,Cafeteria,64,2,0.03125,135.0,1.0,1.0,False,low,3
district,13.0,Puente de Vallecas,Servicios,Servicios personales,Reparacion especializada,64,2,0.03125,135.0,1.0,1.0,False,low,4
district,13.0,Puente de Vallecas,Automocion,Taller y reparacion,Taller chapa y pintura,63,0,0.0,135.0,1.0,1.0,False,low,5
district,13.0,Puente de Vallecas,Educacion,Formacion,Educacion y formacion,62,0,0.0,135.0,1.0,1.0,False,low,6
district,13.0,Puente de Vallecas,Retail especializado,Conveniencia,Bazar y precio unico,61,5,0.08196721311475409,135.0,1.0,1.0,False,low,7
district,13.0,Puente de Vallecas,Salud y bienestar,Clinicas y consultas,Clinica dental,58,2,0.034482758620689655,135.0,1.0,1.0,False,low,8
district,13.0,Puente de Vallecas,Alimentacion,Alimentacion fresca,Pescaderia,45,2,0.044444444444444446,135.0,1.0,1.0,False,low,9
district,13.0,Puente de Vallecas,Alimentacion,Alimentacion fresca,Carniceria,42,0,0.0,135.0,1.0,1.0,False,low,10
district,13.0,Puente de Vallecas,Alimentacion,Alimentacion fresca,Aves y huevos,41,2,0.04878048780487805,135.0,1.0,1.0,False,low,11
district,13.0,Puente de Vallecas,Alimentacion,Alimentacion fresca,Carniceria y charcuteria,37,0,0.0,135.0,1.0,1.0,False,low,12
district,13.0,Puente de Vallecas,Hosteleria,Catering y colectividades,Comedor colectivo,34,3,0.08823529411764706,70.0,1.0,1.0,False,low,13
district,13.0,Puente de Vallecas,Educacion,Educacion infantil,Escuela infantil,31,1,0.03225806451612903,135.0,1.0,1.0,False,low,14
district,13.0,Puente de Vallecas,Educacion,Formacion,Autoescuela,30,1,0.03333333333333333,135.0,1.0,1.0,False,low,15
district,13.0,Puente de Vallecas,Retail especializado,Conveniencia,Estanco,30,1,0.03333333333333333,135.0,1.0,1.0,False,low,16
district,13.0,Puente de Vallecas,Salud y bienestar,Salud retail,Herbolario,28,5,0.17857142857142858,135.0,1.0,1.0,False,low,17
district,13.0,Puente de Vallecas,Servicios,Servicios personales,Arreglo de ropa,25,2,0.08,135.0,1.0,1.0,False,low,18
district,13.0,Puente de Vallecas,Deporte y ocio,Fitness y deporte,Gimnasio,25,2,0.08,135.0,1.0,1.0,False,low,19
district,13.0,Puente de Vallecas,Salud y bienestar,Salud retail,Optica,25,2,0.08,135.0,1.0,1.0,False,low,20
district,13.0,Puente de Vallecas,Alimentacion,Alimentacion fresca,Charcuteria,22,1,0.045454545454545456,135.0,1.0,1.0,False,low,21
district,13.0,Puente de Vallecas,Salud y bienestar,Salud retail,Salud retail,22,1,0.045454545454545456,135.0,1.0,1.0,False,low,22
district,13.0,Puente de Vallecas,Salud y bienestar,Clinicas y consultas,Clinicas y consultas,21,6,0.2857142857142857,135.0,1.0,1.0,False,low,23
district,13.0,Puente de Vallecas,Alimentacion,Comida preparada,Comida preparada,21,2,0.09523809523809523,135.0,1.0,1.0,False,low,24
district,13.0,Puente de Vallecas,Automocion,Taller y reparacion,Taller automovil,21,0,0.0,135.0,1.0,1.0,False,low,25
district,13.0,Puente de Vallecas,Retail especializado,Electronica y telecom,Electrodomesticos,20,3,0.15,135.0,1.0,1.0,False,low,26
district,13.0,Puente de Vallecas,Retail especializado,Hogar y reformas,Saneamientos,20,1,0.05,135.0,1.0,1.0,False,low,27
district,13.0,Puente de Vallecas,Automocion,Venta y recambios,Recambios automovil,19,0,0.0,135.0,1.0,1.0,False,low,28
district,13.0,Puente de Vallecas,Hosteleria,Restauracion,Comida rapida,18,1,0.05555555555555555,135.0,1.0,1.0,False,low,29
district,13.0,Puente de Vallecas,Retail especializado,Electronica y telecom,Electronica,17,1,0.058823529411764705,135.0,1.0,1.0,False,low,30
district,13.0,Puente de Vallecas,Retail especializado,Hogar y reformas,Puertas y ventanas,17,3,0.17647058823529413,135.0,1.0,1.0,False,low,31
district,13.0,Puente de Vallecas,Servicios,Servicios profesionales,Tecnologia y software,17,0,0.0,135.0,1.0,1.0,False,low,32
district,13.0,Puente de Vallecas,Servicios,Servicios profesionales,Arquitectura e ingenieria,16,3,0.1875,135.0,1.0,1.0,False,low,33
district,13.0,Puente de Vallecas,Servicios,Servicios personales,Reparacion de calzado,16,0,0.0,135.0,1.0,1.0,False,low,34
district,13.0,Puente de Vallecas,Retail especializado,Electronica y telecom,Electronica y telecom,14,3,0.21428571428571427,135.0,1.0,1.0,False,low,35
district,13.0,Puente de Vallecas,Servicios,Servicios profesionales,Servicios profesionales,14,0,0.0,135.0,1.0,1.0,False,low,36
district,13.0,Puente de Vallecas,Alimentacion,Supermercado y conveniencia,Alimentacion envasada,12,1,0.08333333333333333,135.0,1.0,1.0,False,low,37
district,13.0,Puente de Vallecas,Retail especializado,Hogar y decoracion,Colchoneria,12,2,0.16666666666666666,135.0,1.0,1.0,False,low,38
district,13.0,Puente de Vallecas,Retail especializado,Cultura y ocio,Deporte,12,0,0.0,135.0,1.0,1.0,False,low,39
district,13.0,Puente de Vallecas,Retail especializado,Hogar y regalos,Floristeria,12,1,0.08333333333333333,135.0,1.0,1.0,False,low,40
district,13.0,Puente de Vallecas,Retail especializado,Electronica y telecom,Informatica,12,2,0.16666666666666666,135.0,1.0,1.0,False,low,41
district,13.0,Puente de Vallecas,Retail especializado,Hogar y reformas,Material electrico,11,4,0.36363636363636365,135.0,1.0,1.0,False,low,42
district,13.0,Puente de Vallecas,Retail especializado,Hogar y reformas,Materiales de construccion,11,2,0.18181818181818182,135.0,1.0,1.0,False,low,43
district,13.0,Puente de Vallecas,Retail especializado,Hogar y decoracion,Muebles de cocina,11,0,0.0,135.0,1.0,1.0,False,low,44
district,13.0,Puente de Vallecas,Finanzas,Finanzas y seguros,Seguros,10,1,0.1,135.0,1.0,1.0,False,low,45
district,13.0,Puente de Vallecas,Alimentacion,Alimentacion fresca,Casqueria,9,1,0.1111111111111111,135.0,1.0,1.0,False,low,46
district,13.0,Puente de Vallecas,Salud y bienestar,Clinicas y consultas,Clinica medica,9,0,0.0,135.0,1.0,1.0,False,low,47
district,13.0,Puente de Vallecas,Automocion,Venta y recambios,Motos y reparacion,9,0,0.0,135.0,1.0,1.0,False,low,48
district,13.0,Puente de Vallecas,Belleza y cuidado personal,Servicios personales,Belleza y cuidado personal,8,0,0.0,135.0,1.0,1.0,False,low,49
district,13.0,Puente de Vallecas,Retail especializado,Hogar y reformas,Bricolaje,8,0,0.0,135.0,1.0,1.0,False,low,50
district,13.0,Puente de Vallecas,Hosteleria,Ocio nocturno,Discoteca,8,1,0.125,135.0,1.0,1.0,False,low,51
district,13.0,Puente de Vallecas,Retail especializado,Cultura y ocio,Jugueteria,8,0,0.0,135.0,1.0,1.0,False,low,52
district,13.0,Puente de Vallecas,Salud y bienestar,Clinicas y consultas,Podologia,8,0,0.0,135.0,1.0,1.0,False,low,53
district,13.0,Puente de Vallecas,Hosteleria,Bar y cafeteria,Taberna,8,1,0.125,135.0,1.0,1.0,False,low,54
district,13.0,Puente de Vallecas,Retail especializado,Conveniencia,Tienda multiproducto,8,0,0.0,135.0,1.0,1.0,False,low,55
district,13.0,Puente de Vallecas,Deporte y ocio,Ocio y entretenimiento,Celebraciones infantiles,7,1,0.14285714285714285,135.0,1.0,1.0,False,low,56
district,13.0,Puente de Vallecas,Automocion,Servicios automocion,Gasolinera,7,0,0.0,135.0,1.0,1.0,False,low,57
district,13.0,Puente de Vallecas,Alimentacion,Especialistas alimentacion,Lacteos y bebidas,7,0,0.0,135.0,1.0,1.0,False,low,58
district,13.0,Puente de Vallecas,Alimentacion,Especialistas alimentacion,Congelados,6,1,0.16666666666666666,135.0,1.0,1.0,False,low,59
district,13.0,Puente de Vallecas,Alimentacion,Panaderia y pasteleria,Pasteleria y reposteria,6,3,0.5,130.5,1.0,1.0,False,low,60
district,13.0,Puente de Vallecas,Servicios,Servicios profesionales,Publicidad y marketing,6,0,0.0,135.0,1.0,1.0,False,low,61
district,13.0,Puente de Vallecas,Educacion,Educacion infantil,Centro de cuidado infantil,5,0,0.0,135.0,1.0,1.0,False,low,62
district,13.0,Puente de Vallecas,Hosteleria,Bar y cafeteria,Churreria,5,0,0.0,135.0,1.0,1.0,False,low,63
district,13.0,Puente de Vallecas,Servicios,Servicios profesionales,Despacho juridico,5,0,0.0,135.0,1.0,1.0,False,low,64
district,13.0,Puente de Vallecas,Retail especializado,Hogar y decoracion,Menaje del hogar,5,2,0.4,135.0,1.0,1.0,False,low,65
district,13.0,Puente de Vallecas,Servicios,Servicios profesionales,Telecomunicaciones,5,1,0.2,135.0,1.0,1.0,False,low,66
district,13.0,Puente de Vallecas,Deporte y ocio,Fitness y deporte,Club deportivo,4,0,0.0,135.0,1.0,1.0,False,low,67
district,13.0,Puente de Vallecas,Finanzas,Finanzas y seguros,Finanzas y seguros,4,1,0.25,135.0,1.0,1.0,False,low,68
district,13.0,Puente de Vallecas,Deporte y ocio,Fitness y deporte,Instalacion deportiva,4,0,0.0,135.0,1.0,1.0,False,low,69
district,13.0,Puente de Vallecas,Belleza y cuidado personal,Peluqueria y estetica,Instituto de belleza,4,1,0.25,135.0,1.0,1.0,False,low,70
district,13.0,Puente de Vallecas,Salud y bienestar,Clinicas y consultas,Optometria,4,1,0.25,135.0,1.0,1.0,False,low,71
district,13.0,Puente de Vallecas,Automocion,Venta y recambios,Venta de coches usados,4,0,0.0,135.0,1.0,1.0,False,low,72
district,13.0,Puente de Vallecas,Hosteleria,Bar y cafeteria,Bar especial con actuaciones,3,0,0.0,135.0,1.0,1.0,False,low,73
district,13.0,Puente de Vallecas,Finanzas,Finanzas y seguros,Cambio y envio de moneda,3,1,0.3333333333333333,135.0,1.0,1.0,False,low,74
district,13.0,Puente de Vallecas,Hosteleria,Bar y cafeteria,Heladeria y salon de te,3,0,0.0,135.0,1.0,1.0,False,low,75
district,13.0,Puente de Vallecas,Retail especializado,Hogar y decoracion,Iluminacion,3,0,0.0,135.0,1.0,1.0,False,low,76
district,13.0,Puente de Vallecas,Salud y bienestar,Clinicas y consultas,Parasanitario,3,2,0.6666666666666666,82.0,1.0,1.0,False,low,77
district,13.0,Puente de Vallecas,Automocion,Venta y recambios,Venta de coches nuevos,3,0,0.0,135.0,1.0,1.0,False,low,78
district,13.0,Puente de Vallecas,Hosteleria,Bar y cafeteria,Bodega con consumo,2,0,0.0,135.0,1.0,1.0,False,low,79
district,13.0,Puente de Vallecas,Hosteleria,Catering y colectividades,Eventos y banquetes,2,0,0.0,94.0,1.0,1.0,False,low,80
district,13.0,Puente de Vallecas,Servicios,Servicios profesionales,Fotografia,2,0,0.0,135.0,1.0,1.0,False,low,81
district,13.0,Puente de Vallecas,Alimentacion,Supermercado y conveniencia,Gran superficie alimentacion,2,0,0.0,94.5,1.0,1.0,False,low,82
district,13.0,Puente de Vallecas,Deporte y ocio,Ocio y entretenimiento,Salon recreativo,2,2,1.0,63.5,1.0,1.0,False,low,83
district,13.0,Puente de Vallecas,Alimentacion,Especialistas alimentacion,Bodega,1,0,0.0,135.0,1.0,1.0,False,low,84
district,13.0,Puente de Vallecas,Alimentacion,Especialistas alimentacion,Cafe e infusiones,1,0,0.0,135.0,1.0,1.0,False,low,85
district,13.0,Puente de Vallecas,Hosteleria,Ocio nocturno,Cafe espectaculo,1,0,0.0,135.0,1.0,1.0,False,low,86
district,13.0,Puente de Vallecas,Belleza y cuidado personal,Peluqueria y estetica,Fotodepilacion,1,0,0.0,135.0,1.0,1.0,False,low,87
district,13.0,Puente de Vallecas,Alimentacion,Especialistas alimentacion,Golosinas,1,0,0.0,135.0,1.0,1.0,False,low,88
district,13.0,Puente de Vallecas,Alojamiento,Alojamiento turistico,Hotel,1,0,0.0,135.0,1.0,1.0,False,low,89
district,13.0,Puente de Vallecas,Retail especializado,Mascotas,Mascotas,1,0,0.0,128.0,1.0,1.0,False,low,90
district,13.0,Puente de Vallecas,Finanzas,Finanzas y seguros,Servicios auxiliares seguros,1,0,0.0,135.0,1.0,1.0,False,low,91
district,13.0,Puente de Vallecas,Servicios,Logistica y movilidad,Logistica y movilidad,136,11,0.08088235294117647,135.0,1.0,0.9926470588235294,False,low,92
district,13.0,Puente de Vallecas,Hosteleria,Bar y cafeteria,Bar con cocina,428,15,0.035046728971962614,135.0,0.9976635514018691,0.9906542056074766,True,medium,93
district,13.0,Puente de Vallecas,Alimentacion,Supermercado y conveniencia,Supermercado,94,6,0.06382978723404255,135.0,0.9893617021276596,0.9893617021276596,False,low,94
district,13.0,Puente de Vallecas,Alimentacion,Supermercado y conveniencia,Tienda de alimentacion,214,14,0.06542056074766354,135.0,0.9906542056074767,0.985981308411215,True,medium,95
district,13.0,Puente de Vallecas,Servicios,Servicios profesionales,Asesoria y contabilidad,66,10,0.15151515151515152,135.0,1.0,0.9848484848484849,False,low,96
district,13.0,Puente de Vallecas,Hosteleria,Bar y cafeteria,Bar restaurante,119,13,0.1092436974789916,135.0,0.9915966386554622,0.9831932773109244,True,medium,97
district,13.0,Puente de Vallecas,Hosteleria,Bar y cafeteria,Bar sin cocina,101,4,0.039603960396039604,135.0,1.0,0.9801980198019802,False,low,98
district,13.0,Puente de Vallecas,Retail especializado,Moda y complementos,Calzado,50,7,0.14,135.0,1.0,0.98,False,low,99
district,13.0,Puente de Vallecas,Retail especializado,Hogar y decoracion,Muebles,48,6,0.125,135.0,0.9791666666666666,0.9791666666666666,False,low,100
district,13.0,Puente de Vallecas,Deporte y ocio,Ocio y entretenimiento,Ocio y entretenimiento,41,3,0.07317073170731707,135.0,0.975609756097561,0.975609756097561,False,low,101
district,13.0,Puente de Vallecas,Retail especializado,Hogar y decoracion,Textil hogar,38,6,0.15789473684210525,135.0,0.9736842105263158,0.9736842105263158,False,low,102
district,13.0,Puente de Vallecas,Retail especializado,Hogar y reformas,Ferreteria,37,2,0.05405405405405406,135.0,1.0,0.972972972972973,False,low,103
district,13.0,Puente de Vallecas,Belleza y cuidado personal,Peluqueria y estetica,Peluqueria,284,30,0.1056338028169014,135.0,0.9929577464788732,0.971830985915493,True,high,104
district,13.0,Puente de Vallecas,Retail especializado,Moda y complementos,Moda,173,34,0.19653179190751446,135.0,0.9942196531791907,0.9710982658959537,True,high,105
district,13.0,Puente de Vallecas,Alimentacion,Panaderia y pasteleria,Panaderia,32,1,0.03125,135.0,0.96875,0.96875,False,low,106
district,13.0,Puente de Vallecas,Alimentacion,Alimentacion fresca,Fruteria,142,14,0.09859154929577464,135.0,0.971830985915493,0.9647887323943662,True,medium,107
district,13.0,Puente de Vallecas,Salud y bienestar,Clinicas y consultas,Fisioterapia,28,4,0.14285714285714285,135.0,0.9642857142857143,0.9642857142857143,False,low,108
district,13.0,Puente de Vallecas,Retail especializado,Cultura y ocio,Papeleria y prensa,27,6,0.2222222222222222,135.0,0.962962962962963,0.962962962962963,False,low,109
district,13.0,Puente de Vallecas,Hosteleria,Bar y cafeteria,Bar especial,52,9,0.17307692307692307,135.0,1.0,0.9615384615384616,False,low,110
district,13.0,Puente de Vallecas,Alimentacion,Especialistas alimentacion,Frutos secos y encurtidos,25,5,0.2,135.0,0.96,0.96,False,low,111
district,13.0,Puente de Vallecas,Belleza y cuidado personal,Cosmetica y perfumeria,Perfumeria y cosmetica,25,6,0.24,135.0,0.96,0.96,False,low,112
district,13.0,Puente de Vallecas,Hosteleria,Restauracion,Restaurante,45,3,0.06666666666666667,135.0,0.9777777777777777,0.9555555555555555,False,low,113
district,13.0,Puente de Vallecas,Retail especializado,Moda y complementos,Joyeria y relojeria,43,5,0.11627906976744186,135.0,0.9767441860465116,0.9534883720930232,False,low,114
district,13.0,Puente de Vallecas,Finanzas,Finanzas y seguros,Banco y caja,103,32,0.3106796116504854,135.0,0.9902912621359223,0.9514563106796117,True,medium,115
district,13.0,Puente de Vallecas,Servicios,Servicios al consumidor,Locutorio,96,24,0.25,135.0,0.96875,0.9479166666666666,True,medium,116
district,13.0,Puente de Vallecas,Salud y bienestar,Clinicas y consultas,Consulta medica,17,2,0.11764705882352941,135.0,0.9411764705882353,0.9411764705882353,False,low,117
district,13.0,Puente de Vallecas,Retail especializado,Electronica y telecom,Telefonia,29,5,0.1724137931034483,135.0,1.0,0.9310344827586207,False,low,118
district,13.0,Puente de Vallecas,Retail especializado,Otros comercios,Otros comercios,58,14,0.2413793103448276,135.0,0.9655172413793103,0.9310344827586206,False,low,119
district,13.0,Puente de Vallecas,Belleza y cuidado personal,Peluqueria y estetica,Centro de estetica,26,5,0.19230769230769232,135.0,0.9230769230769231,0.9230769230769231,False,low,120
district,13.0,Puente de Vallecas,Belleza y cuidado personal,Servicios personales,Tattoo y piercing,12,1,0.08333333333333333,135.0,0.9166666666666666,0.9166666666666666,False,low,121
district,13.0,Puente de Vallecas,Servicios,Servicios profesionales,Oficina y administracion,23,7,0.30434782608695654,135.0,0.9130434782608696,0.9130434782608696,False,low,122
district,13.0,Puente de Vallecas,Salud y bienestar,Clinicas y consultas,Veterinaria,11,1,0.09090909090909091,135.0,1.0,0.9090909090909091,False,low,123
district,13.0,Puente de Vallecas,Servicios,Servicios personales,Lavanderia y tintoreria,21,6,0.2857142857142857,135.0,1.0,0.9047619047619047,False,low,124
district,13.0,Puente de Vallecas,Retail especializado,Cultura y ocio,Libreria,7,1,0.14285714285714285,135.0,1.0,0.8571428571428572,False,low,125
district,13.0,Puente de Vallecas,Retail especializado,Hogar y decoracion,Hogar y menaje,14,3,0.21428571428571427,135.0,0.9285714285714286,0.8571428571428572,False,low,126
district,13.0,Puente de Vallecas,Servicios,Servicios profesionales,Inmobiliaria,38,12,0.3157894736842105,135.0,0.9736842105263158,0.8421052631578948,False,low,127
district,13.0,Puente de Vallecas,Alimentacion,Especialistas alimentacion,Heladeria,6,2,0.3333333333333333,135.0,0.8333333333333334,0.8333333333333334,False,low,128
district,13.0,Puente de Vallecas,Retail especializado,Cultura y ocio,Bicicletas,3,1,0.3333333333333333,135.0,1.0,0.6666666666666667,False,low,129
district,14.0,Moratalaz,Salud y bienestar,Salud retail,Farmacia,54,1,0.018518518518518517,135.0,1.0,1.0,False,low,1
district,14.0,Moratalaz,Alimentacion,Alimentacion fresca,Fruteria,38,2,0.05263157894736842,135.0,1.0,1.0,False,low,2
district,14.0,Moratalaz,Hosteleria,Bar y cafeteria,Bar restaurante,29,4,0.13793103448275862,135.0,1.0,1.0,False,low,3
district,14.0,Moratalaz,Servicios,Servicios profesionales,Asesoria y contabilidad,24,3,0.125,135.0,1.0,1.0,False,low,4
district,14.0,Moratalaz,Servicios,Servicios profesionales,Inmobiliaria,23,5,0.21739130434782608,135.0,1.0,1.0,False,low,5
district,14.0,Moratalaz,Alimentacion,Alimentacion fresca,Carniceria,21,0,0.0,135.0,1.0,1.0,False,low,6
district,14.0,Moratalaz,Salud y bienestar,Clinicas y consultas,Clinica dental,21,0,0.0,135.0,1.0,1.0,False,low,7
district,14.0,Moratalaz,Educacion,Educacion infantil,Escuela infantil,21,0,0.0,135.0,1.0,1.0,False,low,8
district,14.0,Moratalaz,Automocion,Taller y reparacion,Taller mecanica,19,1,0.05263157894736842,135.0,1.0,1.0,False,low,9
district,14.0,Moratalaz,Hosteleria,Catering y colectividades,Comedor colectivo,15,0,0.0,135.0,1.0,1.0,False,low,10
district,14.0,Moratalaz,Retail especializado,Conveniencia,Estanco,15,2,0.13333333333333333,135.0,1.0,1.0,False,low,11
district,14.0,Moratalaz,Hosteleria,Bar y cafeteria,Cafeteria,14,1,0.07142857142857142,135.0,1.0,1.0,False,low,12
district,14.0,Moratalaz,Retail especializado,Hogar y reformas,Ferreteria,14,2,0.14285714285714285,135.0,1.0,1.0,False,low,13
district,14.0,Moratalaz,Retail especializado,Hogar y reformas,Puertas y ventanas,14,2,0.14285714285714285,135.0,1.0,1.0,False,low,14
district,14.0,Moratalaz,Salud y bienestar,Salud retail,Herbolario,13,4,0.3076923076923077,135.0,1.0,1.0,False,low,15
district,14.0,Moratalaz,Alimentacion,Panaderia y pasteleria,Panaderia,13,1,0.07692307692307693,135.0,1.0,1.0,False,low,16
district,14.0,Moratalaz,Servicios,Servicios personales,Reparacion especializada,13,3,0.23076923076923078,135.0,1.0,1.0,False,low,17
district,14.0,Moratalaz,Educacion,Formacion,Educacion y formacion,12,0,0.0,135.0,1.0,1.0,False,low,18
district,14.0,Moratalaz,Retail especializado,Moda y complementos,Joyeria y relojeria,12,1,0.08333333333333333,135.0,1.0,1.0,False,low,19
district,14.0,Moratalaz,Retail especializado,Cultura y ocio,Papeleria y prensa,12,5,0.4166666666666667,135.0,1.0,1.0,False,low,20
district,14.0,Moratalaz,Educacion,Formacion,Autoescuela,11,0,0.0,135.0,1.0,1.0,False,low,21
district,14.0,Moratalaz,Alimentacion,Alimentacion fresca,Aves y huevos,11,1,0.09090909090909091,135.0,1.0,1.0,False,low,22
district,14.0,Moratalaz,Belleza y cuidado personal,Peluqueria y estetica,Centro de estetica,11,3,0.2727272727272727,135.0,1.0,1.0,False,low,23
district,14.0,Moratalaz,Deporte y ocio,Ocio y entretenimiento,Ocio y entretenimiento,11,4,0.36363636363636365,135.0,1.0,1.0,False,low,24
district,14.0,Moratalaz,Alimentacion,Alimentacion fresca,Pescaderia,11,1,0.09090909090909091,135.0,1.0,1.0,False,low,25
district,14.0,Moratalaz,Alimentacion,Alimentacion fresca,Charcuteria,10,0,0.0,135.0,1.0,1.0,False,low,26
district,14.0,Moratalaz,Salud y bienestar,Clinicas y consultas,Consulta medica,10,1,0.1,135.0,1.0,1.0,False,low,27
district,14.0,Moratalaz,Servicios,Servicios personales,Lavanderia y tintoreria,10,1,0.1,135.0,1.0,1.0,False,low,28
district,14.0,Moratalaz,Salud y bienestar,Clinicas y consultas,Clinicas y consultas,9,2,0.2222222222222222,135.0,1.0,1.0,False,low,29
district,14.0,Moratalaz,Alimentacion,Comida preparada,Comida preparada,9,1,0.1111111111111111,135.0,1.0,1.0,False,low,30
district,14.0,Moratalaz,Deporte y ocio,Fitness y deporte,Gimnasio,9,1,0.1111111111111111,135.0,1.0,1.0,False,low,31
district,14.0,Moratalaz,Servicios,Servicios profesionales,Oficina y administracion,9,2,0.2222222222222222,135.0,1.0,1.0,False,low,32
district,14.0,Moratalaz,Salud y bienestar,Salud retail,Optica,9,0,0.0,135.0,1.0,1.0,False,low,33
district,14.0,Moratalaz,Retail especializado,Hogar y reformas,Saneamientos,9,0,0.0,135.0,1.0,1.0,False,low,34
district,14.0,Moratalaz,Hosteleria,Restauracion,Restaurante,8,1,0.125,135.0,1.0,1.0,False,low,35
district,14.0,Moratalaz,Deporte y ocio,Fitness y deporte,Club deportivo,7,0,0.0,135.0,1.0,1.0,False,low,36
district,14.0,Moratalaz,Hosteleria,Restauracion,Comida rapida,7,0,0.0,135.0,1.0,1.0,False,low,37
district,14.0,Moratalaz,Finanzas,Finanzas y seguros,Seguros,7,1,0.14285714285714285,135.0,1.0,1.0,False,low,38
district,14.0,Moratalaz,Salud y bienestar,Clinicas y consultas,Clinica medica,6,1,0.16666666666666666,135.0,1.0,1.0,False,low,39
district,14.0,Moratalaz,Retail especializado,Hogar y regalos,Floristeria,6,0,0.0,135.0,1.0,1.0,False,low,40
district,14.0,Moratalaz,Retail especializado,Hogar y decoracion,Hogar y menaje,6,0,0.0,135.0,1.0,1.0,False,low,41
district,14.0,Moratalaz,Retail especializado,Hogar y decoracion,Muebles,6,0,0.0,135.0,1.0,1.0,False,low,42
district,14.0,Moratalaz,Retail especializado,Hogar y decoracion,Muebles de cocina,6,3,0.5,131.5,1.0,1.0,False,low,43
district,14.0,Moratalaz,Servicios,Servicios personales,Reparacion de calzado,6,1,0.16666666666666666,135.0,1.0,1.0,False,low,44
district,14.0,Moratalaz,Salud y bienestar,Salud retail,Salud retail,6,1,0.16666666666666666,135.0,1.0,1.0,False,low,45
district,14.0,Moratalaz,Finanzas,Finanzas y seguros,Servicios auxiliares seguros,6,1,0.16666666666666666,135.0,1.0,1.0,False,low,46
district,14.0,Moratalaz,Servicios,Servicios profesionales,Arquitectura e ingenieria,5,2,0.4,135.0,1.0,1.0,False,low,47
district,14.0,Moratalaz,Servicios,Servicios personales,Arreglo de ropa,5,0,0.0,135.0,1.0,1.0,False,low,48
district,14.0,Moratalaz,Belleza y cuidado personal,Servicios personales,Belleza y cuidado personal,5,0,0.0,135.0,1.0,1.0,False,low,49
district,14.0,Moratalaz,Retail especializado,Electronica y telecom,Electronica y telecom,5,0,0.0,135.0,1.0,1.0,False,low,50
district,14.0,Moratalaz,Retail especializado,Cultura y ocio,Jugueteria,5,1,0.2,135.0,1.0,1.0,False,low,51
district,14.0,Moratalaz,Alimentacion,Panaderia y pasteleria,Pasteleria y reposteria,5,1,0.2,135.0,1.0,1.0,False,low,52
district,14.0,Moratalaz,Retail especializado,Cultura y ocio,Deporte,4,1,0.25,135.0,1.0,1.0,False,low,53
district,14.0,Moratalaz,Servicios,Servicios profesionales,Despacho juridico,4,0,0.0,135.0,1.0,1.0,False,low,54
district,14.0,Moratalaz,Retail especializado,Electronica y telecom,Electrodomesticos,4,2,0.5,125.5,1.0,1.0,False,low,55
district,14.0,Moratalaz,Retail especializado,Electronica y telecom,Informatica,4,0,0.0,135.0,1.0,1.0,False,low,56
