zone_level,zone_code,zone_name,web_supercategory,web_category,display_label,n_locales,n_events,event_rate,duration_median_months,survival_12m,survival_24m,supported_for_stats,confidence_tier,rank_within_zone_24m
district,10.0,Latina,Alimentacion,Alimentacion fresca,Aves y huevos,66,1,0.015151515151515152,135.0,1.0,1.0,False,low,7
district,10.0,Latina,Retail especializado,Conveniencia,Bazar y precio unico,66,9,0.13636363636363635,135.0,1.0,1.0,False,low,8
district,10.0,Latina,Salud y bienestar,Clinicas y consultas,Clinica dental,64,5,0.078125,135.0,1.0,1.0,False,low,9
district,10.0,Latina,Servicios,Servicios profesionales,Asesoria y contabilidad,54,7,0.12962962962962962,135.0,1.0,1.0,False,low,10
district,10.0,Latina,Servicios,Servicios personales,Reparacion especializada,46,3,0.06521739130434782,135.0,1.0,1.0,False,low,11
district,10.0,Latina,Retail especializado,Moda y complementos,Calzado,45,5,0.1111111111111111,135.0,1.0,1.0,False,low,12
district,10.0,Latina,Hosteleria,Bar y cafeteria,Bar especial,44,7,0.1590909090909091,135.0,1.0,1.0,False,low,13
district,10.0,Latina,Salud y bienestar,Clinicas y consultas,Fisioterapia,42,4,0.09523809523809523,135.0,1.0,1.0,False,low,14
district,10.0,Latina,Salud y bienestar,Salud retail,Optica,42,5,0.11904761904761904,135.0,1.0,1.0,False,low,15
district,10.0,Latina,Retail especializado,Conveniencia,Estanco,41,0,0.0,135.0,1.0,1.0,False,low,16
district,10.0,Latina,Educacion,Formacion,Autoescuela,38,0,0.0,135.0,1.0,1.0,False,low,17
district,10.0,Latina,Salud y bienestar,Clinicas y consultas,Consulta medica,35,0,0.0,135.0,1.0,1.0,False,low,18
district,10.0,Latina,Educacion,Educacion infantil,Escuela infantil,35,3,0.08571428571428572,135.0,1.0,1.0,False,low,19
district,10.0,Latina,Retail especializado,Cultura y ocio,Papeleria y prensa,35,5,0.14285714285714285,135.0,1.0,1.0,False,low,20
district,10.0,Latina,Deporte y ocio,Ocio y entretenimiento,Ocio y entretenimiento,34,7,0.20588235294117646,135.0,1.0,1.0,False,low,21
district,10.0,Latina,Retail especializado,Hogar y reformas,Puertas y ventanas,34,3,0.08823529411764706,135.0,1.0,1.0,False,low,22
district,10.0,Latina,Alimentacion,Especialistas alimentacion,Frutos secos y encurtidos,33,0,0.0,135.0,1.0,1.0,False,low,23
district,10.0,Latina,Servicios,Servicios personales,Lavanderia y tintoreria,33,4,0.12121212121212122,135.0,1.0,1.0,False,low,24
district,10.0,Latina,Retail especializado,Hogar y decoracion,Muebles,32,7,0.21875,135.0,1.0,1.0,False,low,25
district,10.0,Latina,Retail especializado,Electronica y telecom,Telefonia,32,7,0.21875,135.0,1.0,1.0,False,low,26
district,10.0,Latina,Servicios,Servicios personales,Reparacion de calzado,29,1,0.034482758620689655,135.0,1.0,1.0,False,low,27
district,10.0,Latina,Automocion,Taller y reparacion,Taller chapa y pintura,27,1,0.037037037037037035,135.0,1.0,1.0,False,low,28
district,10.0,Latina,Retail especializado,Hogar y regalos,Floristeria,26,1,0.038461538461538464,135.0,1.0,1.0,False,low,29
district,10.0,Latina,Servicios,Servicios personales,Arreglo de ropa,25,0,0.0,135.0,1.0,1.0,False,low,30
district,10.0,Latina,Retail especializado,Hogar y decoracion,Muebles de cocina,25,4,0.16,135.0,1.0,1.0,False,low,31
district,10.0,Latina,Belleza y cuidado personal,Cosmetica y perfumeria,Perfumeria y cosmetica,23,3,0.13043478260869565,135.0,1.0,1.0,False,low,32
district,10.0,Latina,Deporte y ocio,Fitness y deporte,Gimnasio,22,3,0.13636363636363635,135.0,1.0,1.0,False,low,33
district,10.0,Latina,Salud y bienestar,Clinicas y consultas,Clinica medica,20,1,0.05,135.0,1.0,1.0,False,low,34
district,10.0,Latina,Alimentacion,Especialistas alimentacion,Congelados,20,0,0.0,135.0,1.0,1.0,False,low,35
district,10.0,Latina,Retail especializado,Electronica y telecom,Informatica,19,3,0.15789473684210525,135.0,1.0,1.0,False,low,36
district,10.0,Latina,Salud y bienestar,Salud retail,Salud retail,19,4,0.21052631578947367,135.0,1.0,1.0,False,low,37
district,10.0,Latina,Alimentacion,Alimentacion fresca,Casqueria,17,0,0.0,135.0,1.0,1.0,False,low,38
district,10.0,Latina,Salud y bienestar,Clinicas y consultas,Veterinaria,17,1,0.058823529411764705,135.0,1.0,1.0,False,low,39
district,10.0,Latina,Retail especializado,Cultura y ocio,Deporte,16,3,0.1875,135.0,1.0,1.0,False,low,40
district,10.0,Latina,Automocion,Taller y reparacion,Taller automovil,15,0,0.0,135.0,1.0,1.0,False,low,41
district,10.0,Latina,Retail especializado,Conveniencia,Tienda multiproducto,14,1,0.07142857142857142,135.0,1.0,1.0,False,low,42
district,10.0,Latina,Alimentacion,Especialistas alimentacion,Bodega,13,3,0.23076923076923078,135.0,1.0,1.0,False,low,43
district,10.0,Latina,Retail especializado,Electronica y telecom,Electronica,13,3,0.23076923076923078,135.0,1.0,1.0,False,low,44
district,10.0,Latina,Salud y bienestar,Clinicas y consultas,Podologia,13,0,0.0,135.0,1.0,1.0,False,low,45
district,10.0,Latina,Retail especializado,Hogar y reformas,Saneamientos,13,1,0.07692307692307693,135.0,1.0,1.0,False,low,46
district,10.0,Latina,Finanzas,Finanzas y seguros,Seguros,13,4,0.3076923076923077,135.0,1.0,1.0,False,low,47
district,10.0,Latina,Automocion,Venta y recambios,Venta de coches nuevos,13,2,0.15384615384615385,135.0,1.0,1.0,False,low,48
district,10.0,Latina,Belleza y cuidado personal,Servicios personales,Belleza y cuidado personal,12,0,0.0,135.0,1.0,1.0,False,low,49
